open,high,low,close,volume,ema_5_ratio,ema_10_ratio,ema_20_ratio,macd,macd_hist,atr_ratio,rsi_14,volume_ratio,obv,return_1d,return_5d,volatility_20d,date,target_return_5d,target_direction
23.45,23.95,22.85,23.55,130446043,0.016341185303694772,0.02900015114683785,0.09044088540877326,1.8026403280985406,-0.14005272802406488,0.08174097664543523,69.63123644251627,0.37621916418772994,6794967893.0,0.012903225806451646,-0.024844720496894346,0.04610714184841732,2020-09-14,-0.12526539278131632,0
22.5,22.85,22.1,22.35,644588425,-0.023913824028645725,-0.019254470665891477,0.031450929750694856,1.6444784070929082,-0.23857171922375797,0.08737615851709812,61.40100071479629,1.7775174583769402,6150379468.0,-0.05095541401273884,-0.0022321428571426827,0.04745183092948275,2020-09-15,-0.08501118568232668,0
22.45,22.85,22.25,22.75,134731396,-0.004305729880209608,-0.001392958482469897,0.04494384550489716,1.5337307093580925,-0.27945553356685915,0.07959183673469387,55.73770491803278,0.3826360576937822,6285110864.0,0.017897091722594904,0.02941176470588225,0.047241051963147894,2020-09-16,-0.08351648351648344,0
22.55,22.65,21.2,21.3,231538441,-0.04622250379209092,-0.0538517311684068,-0.019634900684011525,1.3138146417953926,-0.3994972809036472,0.0811535881958417,45.2,0.6615697685414392,6053572423.0,-0.06373626373626373,-0.05122494432071267,0.05023261196243956,2020-09-17,-0.06854460093896719,0
21.45,22.15,21.4,22.05,156724342,-0.008461507159511883,-0.016865690101103614,0.013448313818039237,1.186372541661708,-0.4215515048298657,0.07531584062196307,44.08163265306122,0.45092780413724204,6210296765.0,0.035211267605633756,-0.05161290322580647,0.050498634896161756,2020-09-18,-0.10566893424036294,0
22.2,22.3,20.6,20.6,187317195,-0.0503460551343885,-0.06769847838465592,-0.048374501979143836,0.957335311737463,-0.5204709878032885,0.0792302357836338,28.448275862068954,0.5393945693898712,6022979570.0,-0.06575963718820854,-0.12526539278131632,0.0533052095345156,2020-09-21,-0.019417475728155442,0
20.65,21.25,20.3,20.45,129288851,-0.038916812709856585,-0.06178067819311661,-0.050301724654037816,0.7550145724892658,-0.5782333816411884,0.07527069507509605,27.467811158798284,0.37459004286184483,5893690719.0,-0.00728155339805836,-0.08501118568232668,0.05311130153055523,2020-09-22,-0.019559902200488977,0
20.65,21.1,20.45,20.85,101052347,-0.013502628873971356,-0.035815791132484454,-0.028791214766275885,0.6198058500299766,-0.5707536832803821,0.06851661527920519,35.12195121951221,0.30515888190735524,5994743066.0,0.019559902200489088,-0.08351648351648344,0.05189664164876014,2020-09-23,-0.01918465227817756,0
20.55,20.55,19.8,19.84,170832138,-0.04171203511167154,-0.06854653580918191,-0.06911432202132162,0.4262399751683681,-0.6114556465135925,0.06516417050691245,28.14258911819887,0.547922526358882,5823910928.0,-0.04844124700239816,-0.06854460093896719,0.04640871598246751,2020-09-24,0.048387096774193505,1
20.15,20.3,19.4,19.72,136205279,-0.03218171889524912,-0.06152277282840224,-0.06811098895001666,0.2601557145198896,-0.6220319257296568,0.06393074471167777,28.76318312559924,0.4726781847256634,5687705649.0,-0.006048387096774244,-0.10566893424036294,0.04446290181890389,2020-09-25,0.0851926977687627,1
